"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Tonight 6-8pm We Break Records For Real Hosted By @drealdjhershey milo_pacino @LASTCHANCE4LUV We Live  Episode #2 S… https://t.co/EaKG1u5hmc",FALSE,0,NA,2019-10-08 19:37:31,TRUE,NA,"1181654878550200321",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LASTCHANCE4LUV",0,FALSE,FALSE,NA,NA
"Support small streams man, just a quick retweet can turn a nobody into a somebody 🗣🗣🗣 #twitch #twitchtv #YouTube… https://t.co/BY3TEk0LCY",FALSE,0,NA,2019-10-08 19:37:30,TRUE,NA,"1181654871361167360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SimbaVision",0,FALSE,FALSE,NA,NA
"RT @SB_Skooly: I can't wait for y'all to hear this Album 💙.... Full session On my #YouTube

https://t.co/y1KtUpIJBZ https://t.co/XPosel4hS8",FALSE,0,NA,2019-10-08 19:37:18,FALSE,NA,"1181654824045207552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moneyhungrykay",7,TRUE,FALSE,NA,NA
"Come check out our video, Borderlands 3 Let's Play Episode/Part 3 Gameplay Walkthrough  Playthrough Facecam [1440P… https://t.co/4OU6kWnsjN",FALSE,0,NA,2019-10-08 19:37:15,TRUE,NA,"1181654809490984968",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","loopy2mn",0,FALSE,FALSE,NA,NA
"RT @SWG_mixes: ⏰This time tomorrow (8pm GMT) my newly Remastered SWG Extended Mix VIDEO of #MichaelJackson's 'Blood On The Dance Floor' wil…",FALSE,0,NA,2019-10-08 19:37:09,FALSE,NA,"1181654786506133506",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DjoDevilHat",21,TRUE,FALSE,NA,NA
"Nightcore Good Time 
https://t.co/V8tZhP485g #Nightcore　#Youtube　#RT希望　#フォロワー募集　#拡散希望",FALSE,0,NA,2019-10-08 19:36:58,FALSE,NA,"1181654739039031296",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","BoxRivelia",0,FALSE,FALSE,NA,NA
"RT @GlasnostGone: Eastern #Ukraine's had an entrenched front line since early 2015. So no chance for ""separatists"" to capture ammo/weapons.…",FALSE,0,NA,2019-10-08 19:36:56,FALSE,NA,"1181654731195854851",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aleroi",61,TRUE,FALSE,NA,NA
"CLAN RECRUITING https://t.co/MYWlNIFX1Y             #fortniteclip #fortniteclips #streamer #twitch #twitchstreamer… https://t.co/omGeiAB2vo",FALSE,0,NA,2019-10-08 19:36:50,TRUE,NA,"1181654704528461825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KillaJLive",0,FALSE,FALSE,NA,NA
"""Beautiful ideas die inside of people."" Great interview of #WillSmith by @MKBHD on the role of technology as enable… https://t.co/c8q629fXCE",FALSE,0,NA,2019-10-08 19:36:49,TRUE,NA,"1181654701718130688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LutzHeidelberg",0,FALSE,FALSE,NA,NA
"08/10/2019 20:36:22
How to Make Professional YouTube Thumbnails Easy with Thumbnail Blaster Software… https://t.co/9mI6DQnEVC",FALSE,0,NA,2019-10-08 19:36:46,TRUE,NA,"1181654688871190528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Feriel095",0,FALSE,FALSE,NA,NA
